"Título de trazado: JTU_01_PP_11"
"N.º","Fecha Tiempo, GMT-05:00","Lluvia, mm (LGR S/N: 10390583, SEN S/N: 10390583)","Final de archivo (LGR S/N: 10390583)"
1,14/02/14 14:00:00,0.0,
2,22/02/14 22:25:05,0.1,
3,22/02/14 22:30:55,0.2,
4,22/02/14 23:08:19,0.3,
5,23/02/14 14:50:41,0.4,
6,23/02/14 15:05:03,0.5,
7,23/02/14 15:10:23,0.6,
8,23/02/14 15:13:58,0.7,
9,24/02/14 16:16:25,0.8,
10,24/02/14 16:27:46,0.9,
11,24/02/14 17:02:23,1.0,
12,24/02/14 17:07:10,1.1,
13,24/02/14 17:13:44,1.2,
14,24/02/14 17:28:16,1.3,
15,25/02/14 10:32:45,1.4,
16,25/02/14 10:39:34,1.5,
17,25/02/14 10:47:28,1.6,
18,25/02/14 10:49:25,1.7,
19,25/02/14 10:51:18,1.8,
20,25/02/14 10:57:21,1.9,
21,25/02/14 14:17:43,2.0,
22,27/02/14 13:28:37,2.1,
23,27/02/14 13:57:16,2.2,
24,27/02/14 14:10:04,2.3,
25,27/02/14 14:24:20,2.4,
26,27/02/14 14:35:55,2.5,
27,27/02/14 16:41:58,2.6,
28,27/02/14 16:53:33,2.7,
29,27/02/14 17:03:04,2.8,
30,27/02/14 17:08:08,2.9,
31,27/02/14 17:13:22,3.0,
32,27/02/14 17:20:20,3.1,
33,27/02/14 17:28:35,3.2,
34,27/02/14 17:37:00,3.3,
35,27/02/14 18:17:49,3.4,
36,27/02/14 18:36:31,3.5,
37,27/02/14 19:03:55,3.6,
38,27/02/14 19:56:16,3.7,
39,27/02/14 20:10:31,3.8,
40,27/02/14 21:09:14,3.9,
41,01/03/14 11:04:36,4.0,
42,01/03/14 11:08:37,4.1,
43,01/03/14 11:10:26,4.2,
44,01/03/14 11:11:09,4.3,
45,01/03/14 11:11:56,4.4,
46,01/03/14 11:12:35,4.5,
47,01/03/14 11:13:25,4.6,
48,01/03/14 11:14:29,4.7,
49,01/03/14 11:16:35,4.8,
50,01/03/14 11:18:55,4.9,
51,01/03/14 11:20:21,5.0,
52,01/03/14 11:21:18,5.1,
53,01/03/14 11:22:08,5.2,
54,01/03/14 11:22:58,5.3,
55,01/03/14 11:24:11,5.4,
56,01/03/14 11:24:44,5.5,
57,01/03/14 11:25:10,5.6,
58,01/03/14 11:25:35,5.7,
59,01/03/14 11:26:06,5.8,
60,01/03/14 11:26:41,5.9,
61,01/03/14 11:27:20,6.0,
62,01/03/14 11:27:51,6.1,
63,01/03/14 11:28:27,6.2,
64,01/03/14 11:28:55,6.3,
65,01/03/14 11:29:21,6.4,
66,01/03/14 11:29:48,6.5,
67,01/03/14 11:30:14,6.6,
68,01/03/14 11:30:37,6.7,
69,01/03/14 11:31:09,6.8,
70,01/03/14 11:31:58,6.9,
71,01/03/14 11:32:56,7.0,
